,max (document wise),mean (document wise),min (document wise)
SPACE,0.1005291,0.07923007,0.057931036
ADJ,0.0862069,0.07925865,0.0723104
NOUN,0.23034483,0.22628352,0.22222222
PUNCT,0.22751322,0.17203248,0.11655173
SCONJ,0.004137931,0.0029507997,0.0017636684
PRON,0.039310344,0.02450526,0.009700176
VERB,0.07172414,0.05129417,0.030864198
ADP,0.11310345,0.0918251,0.07054674
PROPN,0.1446208,0.09955178,0.054482758
DET,0.090344824,0.061486345,0.032627866
NUM,0.056437388,0.034080762,0.011724138
ADV,0.09448276,0.07942833,0.064373896
X,0.04144621,0.027964484,0.014482759
CCONJ,0.025517242,0.019372378,0.013227513
AUX,0.04275862,0.02446573,0.0061728396
PART,0.0061728396,0.005500213,0.004827586
