,count,mean,std,min,25%,50%,75%,max,corpus wise
AvgMaxDepth,2.0,4.12,0.64,3.66,3.89,4.12,4.35,4.57,4.14
AvgFan,2.0,3.27,0.29,3.06,3.17,3.27,3.37,3.48,3.23
MaxFan,2.0,29.5,12.02,21.0,25.25,29.5,33.75,38.0,
AvgNonTerminales_sent,2.0,3.85,1.07,3.09,3.47,3.85,4.22,4.6,3.88
AvgConstituents_sent,2.0,17.12,1.42,16.12,16.62,17.12,17.62,18.12,0.05
AvgTunits_sent,2.0,0.72,0.21,0.57,0.64,0.72,0.79,0.87,0.73
AvgLenConstituents,2.0,2.4,0.37,2.14,2.27,2.4,2.53,2.66,
AvgLenTunits,2.0,7.49,3.44,5.05,6.27,7.49,8.71,9.92,8.18
AvgOutdegreeCentralization,2.0,0.05,0.01,0.04,0.05,0.05,0.06,0.06,0.05
AvgClosenessCentralization,2.0,0.37,0.03,0.34,0.35,0.37,0.38,0.39,0.36
